name,WEIGHT,HEIGHT,DEPTH,WIDTH,VOLUME,RANK,id
Large Box,10,55,55,55,166375,10,845
Two Seater Sofa,42,89,151,83,1115437,20,1112
Medium Box,8,50,50,50,125000,30,884
Double Bed & Mattress,44,180,56,141,1421280,40,693
Three Seater Sofa,48,89,196,84,1465296,50,1083
Armchair,41,108,100,108,1166400,60,518
Dining Chair,9,52,47,92,224848,70,26170
Suitcase,10,82,55,35,157850,80,28424
Chest Of Drawers,35,96,50,108,518400,90,627
Double Wardrobe,90,180,60,115,1242000,100,26183
Shopping Bags (1-10 bags),5,50,30,30,45000,105,1946407
Coffee Table,22,68,92,43,269008,110,645
Round Coffee Table,22,68,92,43,269008,111,3146007
Glass Coffee Table,22,68,92,43,269008,112,3146017
Washing Machine,70,89,67,68,405484,120,1130
Fridge Freezer,50,178,54,58,557496,130,26236
Large Bag,5,50,50,50,125000,140,26688
Water Cooler,15,100,30,35,105000,150,8167276
4 Seater Dining Table,30,73,80,80,467200,150,502
Small Box,6,45,45,45,91125,160,1020
6 Seater Dining Table,47,76,90,140,957600,170,504
Single Wardrobe,65,57,60,170,581400,180,27976
Bedside Table,17,37,43,55,87505,190,550
"Small Television/TV (Less than 30"")",25,55,22,55,66550,200,28382
"Medium Television/TV (30"" to 40"")",25,61,24,60,87840,201,27748
"Large Television/TV (Greater than 40"")",25,70,20,103,144200,202,856
Single Bed & Mattress,22,50,90,180,810000,210,1011
Kingsize Bed & Mattress,55,50,190,210,1995000,220,825
Box Of Clothes,3,50,50,30,75000,240,576
Office Chair,14,57,60,100,342000,250,903
Double Mattress,35,30,134,161,647220,260,697
Tumble Dryer,70,85,60,60,306000,270,1107
TV Stand,20,51,39,51,101439,280,1110
Four Seater Sofa,60,90,214,91,1752660,290,755
Corner desk with pedestal,40,75,80,160,960000,300,8167275
Bookcase,43,140,30,90,378000,300,570
Large Suitcase,16,94,63,40,236880,310,27063
Fridge,30,130,54,58,407160,320,759
Sideboard,46,48,119,83,474096,340,1009
Garden Table,40,100,100,120,1200000,350,26245
Triple Wardrobe,110,60,171,190,1949400,360,1104
Bicycle,20,95,30,140,399000,370,26102
Small Bag,5,41,41,23,38663,380,28001
Dressing Table,30,100,50,140,700000,390,26187
Office Desk,41,63,115,83,601335,400,904
Desk,41,63,115,83,601335,410,675
Microwave Oven,13,49,41,45,90405,420,885
Book Shelf,43,140,30,90,378000,430,26106
Kingsize Mattress,40,30,149,191,853770,440,828
Chair,10,90,50,60,270000,450,623
Cooker,80,148,60,100,888000,460,656
Single Mattress,22,57,89,155,786315,470,1013
American Fridge Freezer,120,200,85,110,1870000,480,512
Rug,5,10,10,244,24400,490,985
Side Table,23,45,58,110,287100,500,1007
Small Table,28,60,30,30,54000,510,1036
Lamp,5,12,18,34,7344,520,840
L Shaped Sofa,60,90,220,85,1683000,530,26662
Large Mirror,9,120,4,86,41280,540,852
Small Suitcase,10,60,50,32,96000,550,28361
Cardboard Box,7,46,41,46,86756,560,26125
Footstool,37,54,54,43,125388,570,753
Mirror,15,120,5,58,34800,580,887
Display Cabinet,66,42,98,128,526848,590,681
Suitcase Of Clothes,10,60,55,35,115500,600,435531
Large Filing cabinet,60,90,50,50,225000,600,8167277
Double Bed Frame,30,203,18,150,548100,610,695
Full Length Mirror,15,120,5,58,34800,630,26240
Cabinet,66,42,98,128,526848,640,584
Guitar,3,52,14,104,75712,660,789
Cot,23,98,30,146,429240,670,26160
Corner Sofa (Five Seater),90,160,245,90,3528000,680,435501
Cupboard,41,140,68,100,952000,690,668
Bag,5,45,45,25,50625,700,525
